Date,SP adj.
7/1/2004,1792.63
6/1/2004,1833.35
5/1/2004,1790.49
4/1/2004,1850.91
3/1/2004,1841.47
2/1/2004,1885.29
1/1/2004,1877.5
12/1/2003,1800.24
11/1/2003,1747.14
10/1/2003,1723.88
9/1/2003,1690.04
8/1/2003,1645.78
7/1/2003,1657.07
6/1/2003,1651.29
5/1/2003,1566.02
4/1/2003,1486.74
3/1/2003,1411.17
2/1/2003,1403.55
1/1/2003,1513.74
12/1/2002,1526.1
11/1/2002,1540.94
10/1/2002,1447.29
9/1/2002,1472.05
8/1/2002,1550.51
7/1/2002,1540.4
6/1/2002,1730.58
5/1/2002,1842.92
4/1/2002,1898.73
3/1/2002,1981.23
2/1/2002,1900.64
1/1/2002,1976.7
12/1/2001,1989.38
11/1/2001,1955.14
10/1/2001,1860.11
9/1/2001,1798.83
8/1/2001,2038.48
7/1/2001,2083.37
6/1/2001,2136.61
5/1/2001,2194.92
4/1/2001,2065.08
3/1/2001,2066.33
2/1/2001,2280.43
1/1/2001,2341.94
12/1/2000,2348.45
11/1/2000,2430.18
10/1/2000,2452.93
9/1/2000,2594.87
8/1/2000,2639.32
7/1/2000,2617.18
6/1/2000,2603.59
5/1/2000,2539.42
4/1/2000,2619.24
3/1/2000,2586.43
2/1/2000,2511.3
1/1/2000,2592.97
12/1/1999,2606.31
11/1/1999,2537.57
10/1/1999,2372.99
9/1/1999,2410.44
8/1/1999,2439.1
7/1/1999,2543.49
6/1/1999,2443.18
5/1/1999,2460.77
4/1/1999,2465.74
3/1/1999,2384.87
2/1/1999,2326.64
1/1/1999,2333.57
12/1/1998,2229.26
11/1/1998,2142.5
10/1/1998,1932.9
9/1/1998,1915.42
8/1/1998,2019.19
7/1/1998,2175.86
6/1/1998,2087.76
5/1/1998,2090.38
4/1/1998,2101.38
3/1/1998,2038.32
2/1/1998,1941.41
1/1/1998,1830.3
12/1/1997,1831.82
11/1/1997,1784.97
10/1/1997,1807.12
9/1/1997,1784.67
